node_id,word,definition,cluster,x,y,z,ERROR SYMPTOMS,TROUBLESHOOTING,PRIMARY CATEGORY,SUB CATEGORY,CORE,CORE 1: DOMAIN,CORE 2: DOMAIN
W2378,Sign-in/data synchronization,,0,-0.27248701496824046,0.4492883940603749,-0.8508177041154862,"A technician logs onto a secondary fallback corporate terminal and discovers that their custom background shortcuts, bookmarks, and enterprise software application history are completely missing.","Access the Windows “Settings” control layout pane, choose “Accounts > Sync your settings”, ensure the core toggle switch configuration parameter for “Sync settings” is turned to the ""Enabled"" position, and review network firewall logs to ensure outbound token packets pass freely over secure channels.",Operating Systems,User Account Configuration,CORE 2,,OPERATING SYSTEMS
W2530,Synchronization: Desktops,,0,-0.25085321160105983,0.40969696017496565,-0.8770524881971584,"Customized desktop backgrounds or browser bookmarks not transferring to a new computer, or local folder changes not updating on the secondary machine.","Navigate to “Settings > Accounts > Sync your settings” (in Windows), ensure that the ""Sync settings"" toggle is turned to “On”, and verify that both machines are logged into the same Microsoft or organizational account.",Operating Systems,OS Configuration,CORE 2,,OPERATING SYSTEMS
W2643,Tracking: Websites,,0,-0.29947627133035015,0.42200152830383686,-0.8557036128352484,"Privacy concerns, slow page loads due to massive script execution, or websites failing to function when privacy settings are too strict.","Use browser extensions like “AdBlock” or “Privacy Badger” to block trackers, clear your browser cookies and cache regularly, and configure your browser settings to “Block third-party cookies” for increased privacy.",Network Security & Access Control,Privacy,CORE 2,,SECURITY
W2715,"Troubleshooting: User profiles, slow profile loads",,0,-0.24827766715846095,0.4460922769791388,-0.859860384254281,"The “Welcome” screen remains active for several minutes, or the user is logged into a temporary profile instead of their own.","Check “Event Viewer” for “User Profile Service” errors, clear the local “AppData” cache, and ensure the workstation is properly connected to the domain controller if using a centralized network.",Operating Systems,OS Troubleshooting,CORE 2,,OPERATING SYSTEMS
W2782,User profiles,,0,-0.274118986584704,0.3958566179309341,-0.8764452745232058,"User logs in to see a default desktop, missing files, or ""The User Profile Service failed the logon"" error message.","Boot into Safe Mode, and check the registry at “HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList”. If the profile is corrupted, it may appear with a “.bak” extension. Remove the extension or recreate the profile if necessary.",Operating Systems,User and Group Management,CORE 2,,OPERATING SYSTEMS
W2878,Web browsers: Configuring,,0,-0.28961729679324544,0.4466445734370885,-0.8465402804458712,"The application launches into a third-party search engine layout instead of the corporate intranet landing page, or web features are blocked because regional security settings are overly strict.","Click on the primary configuration settings option icon (typically three dots or gear shapes in the upper corner), choose ""Settings"", and navigate down to the ""On startup"" panel. Select ""Open a specific page or set of pages"", input the required Uniform Resource Locator (URL) address string, and save changes to standardize user environments.",Operating Systems,Windows Security Settings,CORE 2,,OPERATING SYSTEMS
W2892,Web browsers: Settings,,0,-0.23834129454485128,0.4229087911771391,-0.8742663104911315,"Downloads are saved into random system file folders instead of the user's dedicated folder workspace, or language scales make the text on pages unreadable.","Enter the specialized menu system of the browser and choose ""Settings"". Use the search field to find the ""Downloads"" configuration line, click the ""Change"" option button, specify the target destination directory path as “C:\Users\Username\Downloads”, and toggle the switch labeled ""Ask where to save each file before downloading"" to add flexibility.",Operating Systems,Microsoft Windows Editions and UI,CORE 2,,OPERATING SYSTEMS
W41,Accessories: Drawing pads,,1,0.40759509381433,-0.6328020068366275,0.6583523825748824,"Cursor skips across the screen erratically, pen pressure levels fail to register inside design apps, or touch functions are completely unresponsive.",Disconnect and reconnect the interface cable; completely remove generic operating system HID (Human Interface Device) pointer drivers and install the vendor's proprietary device driver pack; run the integrated calibration utility to map the pad area to your monitor coordinates.,Peripherals and Hardware,Input Devices,CORE 1,HARDWARE,
W43,Acessories: Styluses,,1,0.4223682240120624,-0.6289291996143428,0.6527274662654838,"Digitizer screen ignores pen strokes completely, line rendering lags behind the physical pen movement, or pressure sensitivity features are missing.",Change the internal battery or charge the active stylus; inspect and replace the plastic pen tip nib if it is worn down or flat; re-pair the device via Bluetooth and verify app configuration support.,Peripherals and Hardware,Input Devices,CORE 1,HARDWARE,
W127,Apple: iPadOS,,1,0.40672394265381756,-0.6221509782756488,0.6689572443009996,"Slide Over or Split View multi-tasking interfaces failing to display properly, external dock displays failing to scale resolution windows correctly, or file mapping tools dropping cloud share access paths.",Close running processes via the application switcher; update the system software layer; navigate to accessibility configurations to verify touch gesture parameters are matching operational intents; execute an all-settings reset routine.,Operating Systems Management,Mobile Operating Systems,CORE 2,,OPERATING SYSTEMS
W768,Drawing pads,,1,0.40912531265231505,-0.6421984026298191,0.6482265732032698,"Stylus not tracking, pen pressure sensitivity not working, or driver incompatibility.","Update the device drivers, recalibrate the stylus in the manufacturer's control panel, and check the USB connection.",Hardware,Peripherals,CORE 1,HARDWARE,
W1175,iPadOS,,1,0.42734373871847425,-0.617083473646444,0.6607460295231101,"Performance degradation when using multitasking features, or app display scaling issues.","Update the OS to the latest version, close background apps using the App Switcher gesture, or perform a reset of “Network Settings” if connectivity issues persist.",Operating System,Mobile OS,CORE 2,,OPERATING SYSTEMS
W1771,Peripherals: Drawing pads,,1,0.39386904205473333,-0.632716783959511,0.6667358165021736,"Stylus pressure sensitivity not working, erratic cursor movement, or device not recognized by the OS.","Reinstall the manufacturer's tablet drivers, check the USB connection, and recalibrate the stylus through the device's control software.",Hardware,Input Devices,CORE 1,Hardware,
W1779,Peripherals: Styluses,,1,0.4257771689537699,-0.6380801558468326,0.6415352812684543,"Inaccurate input, pressure sensitivity failure, or touch not registering.","Replace the stylus battery (if active), replace the stylus tip if worn, ensure the screen is clean, and check the touch digitizer settings.",Hardware,Input Devices,CORE 1,Hardware,
W1822,Picture passwords,,1,0.414389743721795,-0.6108883665407351,0.6746084374830912,"Inability to replicate the gesture pattern, or the feature is missing or disabled by group policy.","If you forget the gesture, use the ""Switch sign-in options"" link to log in using the traditional password; ensure the feature is enabled in ""Settings > Accounts > Sign-in options"".",Software/OS,OS Authentication,CORE 2,,Security
W2391,Smartphone OS: iPadOS,,1,0.3954442845935009,-0.6475615907836767,0.6513737820361272,"Complex enterprise productivity tools fail to scale or render properly across the interface area, or split-screen window management features freeze up entirely.","Navigate to the device maintenance configuration path under “Settings > General > Storage”, verify the quantity of available free flash capacity space, offload non-essential data arrays, and force-close hanging applications by swiping up from the base interface line.",Operating Systems,Mobile Operating Systems,CORE 2,,OPERATING SYSTEMS
W2516,Styluses,,1,0.43798598612840933,-0.620857117939209,0.6501574540519734,The stylus does not register input on the screen.,"Replace the stylus battery (if active), verify the stylus is paired with the device, and clean the touchscreen surface to remove oils or dust.",Hardware,Input Devices,CORE 1,HARDWARE,
W2546,Tablet OS,,1,0.39289762240857823,-0.6213125715944705,0.6779396335105011,"Applications frequently crash upon opening, the touch screen does not respond to input, or the device fails to boot past the manufacturer's logo.","Perform a ""Force Restart"" by holding the power and volume buttons, clear the cache for problematic apps in the settings menu, or perform a ""Factory Reset"" to revert the OS to its original state.",Operating Systems,Mobile Operating Systems,CORE 2,,OPERATING SYSTEMS
W2549,Tablet OS: iPadOS,,1,0.41560336313478424,-0.6500446580070585,0.6361727651727501,"Multitasking gestures stop responding, or the “Files” app fails to connect to cloud storage services.","Ensure the OS is updated to the latest version, verify that “Multitasking & Gestures” are enabled in Settings, and sign out/back into the Apple ID account.",Operating Systems,Mobile Operating Systems,CORE 2,,OPERATING SYSTEMS
W2640,Touchscreens,,1,0.42993999656611365,-0.6051606274579241,0.670024040111593,"The screen is unresponsive to touch, registers touches in the wrong location, or experiences erratic touch input (phantom touches).","Clean the screen with a soft microfiber cloth, recalibrate the touch interface in the OS (Operating System) calibration utility, or update the touchscreen controller driver in “Device Manager”.",Hardware,Output/Input Devices,CORE 1,HARDWARE,
W2936,Windows Ink Workspace,,1,0.38317237007056565,-0.6427715426107151,0.6633428064163709,"The taskbar pen icon fails to appear when a digital digitizer pen is brought near the screen, stylus brush actions lag behind physical hand strokes, or drawing inputs distort across multi-monitor display layouts.","Navigate to ""Settings > Bluetooth & devices > Pen & Windows Ink"". Ensure digitizer hardware drivers are updated, toggle the taskbar indicator option setting to ""Enabled"", and calibrate display alignment properties by launching Control Panel, opening ""Tablet PC Settings"", and stepping through the visual target calibration grid wizard.",Operating Systems,Microsoft Windows Editions and UI,CORE 2,,OPERATING SYSTEMS
W84,Administrative Tools: Computer Management,,2,-0.9107139949348647,0.3855682065856452,-0.14811204373753162,"A technician is forced to open multiple individual windows to troubleshoot a system, resulting in slow diagnostic workflows and inefficient local system auditing.","Right-click the Windows Start menu button and select Computer Management, or type ""compmgmt.msc"" into the Run dialog box (""Win + R"") to pull up the consolidated console interface.",Operating Systems Management,Windows Administrative Utilities,CORE 2,,OPERATING SYSTEMS
W85,Administrative Tools: Device Manager,,2,-0.9143747339555873,0.3744141016325214,-0.1540549460496506,"An external peripheral device (like a webcam or network card) completely fails to function, displaying a generic yellow exclamation point triangle, a red ""X"", or an ""Unknown Device"" listing in the operating system interface.","Open Device Manager; locate the malfunctioning hardware listing; right-click the item and select Update Driver to point the system to the vendor's software files; if it still fails, select Uninstall Device, unplug the peripheral, restart the computer, and plug it back in to force a hardware rescan.",Operating Systems Management,Windows Administrative Utilities,CORE 2,,OPERATING SYSTEMS
W441,CompTIA A+ malware removal procedure: Scheduling system scans,,2,-0.9138229019028954,0.38238494959212016,-0.13678250722662932,New threats being missed because the system hasn't been scanned recently.,Use the antivirus software’s 'Task Scheduler' or built-in scheduling feature to set up daily or weekly full system scans.,Network Security & Access Control,Malware Removal,CORE 2,,SECURITY
W448,Computer Management,,2,-0.9079600763424569,0.38781433133388055,-0.15877198802136058,"Inability to manage storage volumes, update drivers, or view system logs, leading to maintenance difficulties.","Right-click the 'Start' button and select 'Computer Management' or press 'Win + R', type 'compmgmt.msc', and press 'Enter'.",Operating Systems,System Utilities,CORE 2,,OPERATING SYSTEMS
W538,Control Panel: Programs and Features,,2,-0.9188099024275076,0.3669269612971222,-0.14544060050210988,Cannot remove a buggy application or need to enable a Windows component (like SMB (Server Message Block)).,"Open “Programs and Features”, select the application to “Uninstall/Change”, or click “Turn Windows features on or off” to modify OS components.",Operating Systems,System Utilities,CORE 2,,OPERATING SYSTEMS
W1375,macOS (OS X): Software Update,,2,-0.9082853024145807,0.3945683597093652,-0.13904538443945072,"The update utility hangs during a server query phase, drops an error saying ""An error occurred while checking for a software update"", or refuses to download pending security patches.","Open ""Terminal"" to bypass the GUI update system and run the command “softwareupdate -l” to list available updates. If found, execute “sudo softwareupdate -ia --restart” to force download and install all pending upgrades and automate the reboot process.",Operating Systems,Mac Operating Systems,CORE 2,,OPERATING SYSTEMS
W1414,Managing: desktops,,2,-0.9119549225171144,0.37530492976366703,-0.1657842845142223,"User machines exhibiting varying operating system update baselines, unauthorized third-party software tools spreading across department machines, or localized client configurations drifting out of corporate security alignments.","Deploy a unified endpoint management system, configure standardized corporate base system images for remote deployment, schedule non-disruptive automated software patch distribution queues, and audit local configuration states against compliance parameters.",Operating Systems,Remote Management and Desktop Operations,CORE 2,,OPERATING SYSTEMS
W1422,Managing: MMC,,2,-0.9184710121674768,0.37329625192781446,-0.1306174111850944,"Standard administrative tool displays opening as mismatched individual windows, inability to locate consolidated remote management tool consoles, or custom tool setups returning layout parsing errors.","Press “Windows Key + R”, enter the initialization command “mmc” in the Run box, select “File > Add/Remove Snap-in”, choose required tools like “Device Manager”, “Event Viewer”, or “Services” from the selection column, click “Add”, choose “OK”, and select “Save As” to output a custom desktop management console file with an “.msc” file suffix.",Operating Systems,Microsoft Windows Administrative Tools,CORE 2,,OPERATING SYSTEMS
W1427,Managing: RMM (Remote Monitoring and Management),,2,-0.903843366767417,0.39869645821575445,-0.1552684853946659,"Administrative technicians unable to pull background performance metrics from client terminals, software update distributions missing target endpoints, or system check data failing to generate warning alerts for failing hardware.","Connect to the target client system terminal interface, verify that the local background management service agent daemon is executing properly, ensure local network firewall pathways allow traffic over required communication ports, and run a manual agent check cycle to re-link with the host controller console.",Operating Systems,Remote Management and Desktop Operations,CORE 2,,OPERATING SYSTEMS
W1478,MS OS (Microsoft Operating System): Computer Management,,2,-0.9192804601845048,0.3611401719644965,-0.15652862906324552,"Administrative technicians waste time launching multiple independent management windows to run system modifications, or local asset controls cannot be accessed simultaneously while troubleshooting hardware driver errors.","Access the unified management framework by pressing “Windows Key + X” and choosing “Computer Management”, or execute the operational console file command “compmgmt.msc” from an administrative shell window to gain full access to system diagnostic tools and storage services from one window.",Operating Systems,Microsoft Windows Administrative Tools,CORE 2,,OPERATING SYSTEMS
W1485,MS OS (Microsoft Operating System): MMC,,2,-0.9115242596097958,0.3911512419991665,-0.12698121918348,"System operators have to flip through many separate administrative application icons during system maintenance, or a specialized management tool framework is missing its standard launcher icons.","Initialize an empty shell management canvas container window by entering the command string “mmc” inside the Run utility terminal, select “File > Add/Remove Snap-in”, scroll through the menu column to highlight desired utilities (such as Services, Task Scheduler, and Event Viewer), click “Add” to import them into the active console path window pane, click “OK”, and save the file to the desktop workspace as a custom control panel extension using a default “.msc” extension suffix.",Operating Systems,Microsoft Windows Administrative Tools,CORE 2,,OPERATING SYSTEMS
W1981,"Programs and Features, Control Panel",,2,-0.9063742366909072,0.3861794192359462,-0.17132191693289645,"Applications listed as installed but failing to open, corrupted program files, or inability to remove software through standard shortcuts.","Open “Control Panel > Programs and Features”, select the problematic program from the list, and click “Uninstall” or “Change/Repair” to resolve missing or damaged files.",Operating Systems,Application Support,CORE 2,,OPERATING SYSTEMS
W2124,Remote access: RMM,,2,-0.9227239744095219,0.36092567346572557,-0.13532599633185227,"Helpdesk dashboards display a host as offline despite the user working, or automated security patches fail to propagate.","Access the Services console, locate the RMM agent service, verify its startup property is 'Automatic', and trigger a 'Restart' on the service.",Operating Systems,Remote Support Utilities,CORE 2,,OPERATING SYSTEMS
W2183,RMM (Remote Monitoring and Management),,2,-0.9031227662691663,0.4050849043492251,-0.14239202686494717,"Technicians notice that specific user workstations show a stale status on the administration control pane, or automated operating system security patches fail to execute on decentralized client laptops.","Access the affected client workstation locally or via command-line, invoke the Services administrative applet by running “services.msc”, find the specified background service entry associated with the corporate RMM platform, verify its startup parameter is configured to 'Automatic', click “Restart” on the service item, and monitor the network logs to ensure outbound traffic is successfully transiting TLS (Transport Layer Security) port 443.",Operating Systems,Remote Support Utilities,CORE 2,,OPERATING SYSTEMS
W2221,Scheduling system scans,,2,-0.915389463103679,0.36470787751234196,-0.17044147065547532,"System performance drops unexpectedly because scans are running during peak business hours, or security vulnerabilities persist because scans were never configured to run.","Open the security software settings (like 'Windows Security'), navigate to 'Scan options', select 'Custom scan', and use the 'Task Scheduler' applet to set the scan to run during off-peak hours (e.g., 2:00 AM).",Operating Systems,OS Maintenance,CORE 2,,OPERATING SYSTEMS
W2304,"Security: Update & Security section, Settings",,2,-0.9176249395554514,0.3788995041418011,-0.11999848360271603,"System updates failing, or security features not active/showing errors.","Open “Settings > Update & Security”, check for available updates, click “Troubleshoot” to run the “Windows Update Troubleshooter”, and ensure the “Windows Update” service is running.",Operating Systems,OS Maintenance,CORE 2,,OPERATING SYSTEMS
W2356,Settings: Windows Update,,2,-0.9010179309481153,0.400405761782542,-0.1668589645218962,"System stability issues, security vulnerabilities, or hardware performance degradation due to outdated drivers.","Go to “Settings > Update & Security > Windows Update” and click “Check for updates” to ensure all patches are installed; if updates are stuck, run the “Windows Update Troubleshooter.”",Operating Systems,OS Maintenance,CORE 2,,OPERATING SYSTEMS
W2429,Software: Desktop management software,,2,-0.9238055275708109,0.3525572175555485,-0.14928749304313896,"Updates fail to deploy to client machines, or remote management tasks (like inventory scanning) return ""Host unreachable"" errors.","Check the connectivity between the management server and the client machine, verify the management agent service is running on the client, and check firewall logs to ensure management ports are open.",Operating Systems,OS Maintenance,CORE 2,,OPERATING SYSTEMS
W2433,"Software: Software Update, macOS (OS X)",,2,-0.9067430840899343,0.402342803692931,-0.12624281275219684,"The operating system warns that security updates are missing, or system features (like AirDrop or iCloud) stop working because the system version is outdated.","Open “System Settings > General > Software Update” to force a manual check, and ensure the system has a stable internet connection if the update progress bar remains stuck.",Operating Systems,OS Maintenance,CORE 2,,OPERATING SYSTEMS
W2536,System Information/msinfo32,,2,-0.9084255159672369,0.37743853227706053,-0.17973101093633734,"The user is unsure of the current hardware specifications (RAM, CPU, BIOS version) when trying to install new software or drivers.","Execute the command “msinfo32” in the Run box to view the summary, or use the tool to export a report file for technical support analysis.",Operating Systems,OS Configuration,CORE 2,,OPERATING SYSTEMS
W2544,"System scans, scheduling",,2,-0.9237786926958832,0.36261497022175676,-0.12305815816986487,System performance drops unexpectedly because scans are running during peak usage times.,"Open the “Task Scheduler” by executing the command “taskschd.msc”, locate the task under the Library, and modify the “Triggers” tab to change the schedule to off-peak hours.",Operating Systems,OS Maintenance,CORE 2,,OPERATING SYSTEMS
W2569,"Telemetry, disabling",,2,-0.8987181121811312,0.4111666513065022,-0.152472094794363,User privacy concerns or a desire to reduce background network bandwidth usage.,"Open the “Services” console, find and stop the “Connected User Experiences and Telemetry” service, and set its “Startup type” to “Disabled”.",Network Security & Access Control,Privacy,CORE 2,,SECURITY
W2630,Tools: Administrative Tools,,2,-0.9203649976603333,0.3533776171252137,-0.1674888975323457,"Inability to view background services, manage disk partitions, or configure local group policies, often due to restricted user privileges or missing system components.","Open the “Control Panel”, navigate to “System and Security > Administrative Tools”, or execute the command “compmgmt.msc” to access the “Computer Management” console, ensuring you have local administrator credentials to modify settings.",Operating Systems,OS Configuration,CORE 2,,OPERATING SYSTEMS
W2751,Updating: Windows Update,,2,-0.9138590638587885,0.38968607700322033,-0.11404548563173861,"Windows Update returns failure error codes (such as ""0x80240020""), hangs infinitely at a specific percentage during download, or fails to apply patches upon a system restart.","Stop the background update services by running the commands ""net stop wuauserv"" and ""net stop bits"" in an elevated Command Prompt. Navigate to the folder ""C:\Windows\SoftwareDistribution"" and delete all files inside to clear the corrupted update cache, then restart the services using the commands ""net start wuauserv"" and ""net start bits"", and re-run Windows Update.",Operating Systems,Microsoft Command Line and OS Tools,CORE 2,,OPERATING SYSTEMS
W2755,Updating: Windows 10,,2,-0.9009671892736449,0.39530190518301944,-0.17887014175379645,"A Windows 10 machine fails to accept a newer bi-annual feature update, reverting changes upon restart with generic setup roll-back error codes.","Run the built-in ""Windows Update Troubleshooter"" from the Settings app. Disconnect all non-essential external USB peripherals, temporarily disable third-party antivirus suites, ensure at least 20 GB (Gigabytes) of free storage space exists on the root partition, and manually deploy the upgrade via the Windows 10 Update Assistant tool.",Operating Systems,OS OS Installation and Upgrade Install Methods,CORE 2,,OPERATING SYSTEMS
W2919,Windows 10: Support for,,2,-0.9270714047362371,0.34895938266930726,-0.13698890381135395,Security auditing scanners throw high-priority vulnerability alerts because an obsolete Windows 10 build revision (such as version 1909) no longer receives cumulative quality updates or security hotfixes from Microsoft.,"Run the version check utility command “winver” to identify the system's current build number. If the build is near or past its formal End of Support (EOS) date, launch Windows Update within Settings and click ""Check for updates"" to deploy the newest feature update enablement package, or migrate the hardware over to Windows 11 to maintain enterprise compliance.",Operating Systems,OS Installation and Upgrade Install Methods,CORE 2,,OPERATING SYSTEMS
W2963,Windows Update,,2,-0.9011397368947182,0.41278417385945204,-0.13250056754779588,"The update engine throws explicit error codes (such as “0x80070002”), drops connection channels infinitely at a specific update percentage threshold, or repeatedly fails to apply security definitions post-restart.","Launch an elevated Command Prompt terminal. Terminate the active background caching engines by executing the instructions “net stop wuauserv” and “net stop bits”; minimize the terminal, open File Explorer, browse to the directory path “C:\Windows\SoftwareDistribution”, and wipe all temporary transaction files inside to purge the corrupted update cache. Return to the terminal interface, restart the daemons via “net start wuauserv” and “net start bits”, and restart the update check tool.",Operating Systems,Microsoft Command Line and OS Tools,CORE 2,,OPERATING SYSTEMS
W2964,Winver command,,2,-0.9129025128407388,0.3649786840823078,-0.18275547109351295,"A help desk technician cannot find the specific software build revision number required to confirm compatibility with an enterprise application update, or system properties pages fail to load.","Open the Windows Run dialog tool box by executing the key shortcut combination “Win + R”, type the exact instruction string command “winver” inside the text input field, and click the ""OK"" option trigger button to pop up the About Windows information box detailing the exact kernel version and build sequence (such as Build 22621).",Operating Systems,Microsoft Command Line and OS Tools,CORE 2,,OPERATING SYSTEMS
W454,Configuring: Email,,3,0.7190313385742725,0.46448948879735996,-0.5169559448781466,"Unable to connect to server', 'Authentication failure', or emails stuck in the Outbox.","Verify the server addresses, port numbers (e.g., '993' for IMAP, '465' or '587' for SMTP), and ensure the username and password credentials are correct.",Operating Systems,Application Support,CORE 2,,OPERATING SYSTEMS
W477,"Connectivity: Email, troubleshooting",,3,0.7088877330069043,0.47354648660085935,-0.5227158951288109,"SMTP authentication error', 'Server not found', or incoming mail not syncing.","Check internet access, verify server settings and port numbers, ensure credentials are valid, and confirm that the antivirus/firewall is not blocking the mail client.",Operating Systems,Application Support,CORE 2,,OPERATING SYSTEMS
W701,DMARC,,3,0.7219942122840877,0.4719813150995558,-0.5059229147065524,High rates of email bouncing or failure to deliver to external domains.,"Check the DMARC policy in DNS records to ensure the policy is set to “none”, “quarantine”, or “reject” correctly according to the organization's security posture, and review authentication reports.",Networking,Email Security,CORE 1,NETWORKING,
W821,Email,,3,0.715651907663667,0.4580689871039087,-0.5272714197744395,"Workstation applications report persistent connection timeouts, an total inability to transmit outbound messages, or repeatedly fail to retrieve pending incoming messages from corporate mailboxes.","Verify client workstation internet access layer functionality, use the command ping to check the accessibility of the remote mail server address host, and check that local firewall profiles permit communications over standard email messaging ports.",Network Services,Messaging Infrastructure,CORE 1,NETWORKING,
W823,Email: Configuring,,3,0.7077344156267725,0.48435537212388846,-0.5143071751707927,An email client displays an administrative warning prompt stating The connection to the incoming server was dropped or Authentication rejected by server.,"Open the account setup wizard within the email client, input the correct user credential string, explicitly select the desired protocol (such as Internet Message Access Protocol (IMAP) or Post Office Protocol 3 (POP3)), check the checkbox to enforce Secure Sockets Layer / Transport Layer Security (SSL/TLS) encryption, and assign the proper port numbers.",Operating System,Client Application Setup,CORE 1,MOBILE DEVICES,
W824,Email: IMAP,,3,0.7290376189921639,0.4586476174332401,-0.5080812072071244,"Changes made to folder structures or read statuses on a mobile phone interface fail to reflect on an executive workstation client application, or the mail client fails to download message bodies.","Access the advanced account configuration tab inside the application, verify that the mail server port is assigned to port 993 to facilitate secure IMAP over SSL/TLS (IMAPS), and use the command test-netconnection to check host port availability.",Network Services,Protocols & Ports,CORE 1,NETWORKING,
W827,Email: Mail servers,,3,0.7040837165001737,0.4680429156001333,-0.5340430219709172,"Outbound mail messages stack up within local application outboxes across the entire organization, or the server logs record high volumes of rejected Simple Mail Transfer Protocol (SMTP) relay actions.","Connect to the mail gateway administrative dashboard, verify that the server storage partitions are not completely exhausted, ensure the host IP address hasn't been appended to public spam blocklists, and check that the core mail service daemons are running.",Network Services,Network Server Types,CORE 1,NETWORKING,
W828,Email: POP3,,3,0.7186274776933833,0.48343270082312567,-0.49986735448407127,An end user reports that emails downloaded onto an office workstation disappear entirely when they attempt to inspect their mailbox via a secondary home device or mobile client interface.,"Access the advanced account setting tab within the mail client interface, verify that the application port configuration is assigned to secure port 995 for POP3 over SSL/TLS (POP3S), and toggle the configuration check box marked Leave a copy of messages on the server to mitigate single-device locks.",Network Services,Protocols & Ports,CORE 1,NETWORKING,
