id,word,definition,cluster,x,y,ERROR SYMPTOMS,TROUBLESHOOTING,PRIMARY CATEGORY,SUB CATEGORY,CORE,CORE 1: DOMAIN,CORE 2: DOMAIN
1027,Hard drives: Disk cleanups,a windows utility used to free up storage space by deleting temporary files empty recycle bins and logs that are no longer needed by the operating system or applications,16,-1.0076001,3.8898675,"Low disk space warnings, system performance degradation, or an inability to install necessary software updates.","Type “Disk Cleanup” in the search bar, select the drive, choose the categories of files to delete (e.g., “Temporary Internet Files”, “Windows Update Cleanup”), and click “OK” to reclaim disk space.",Operating System,File System Maintenance,CORE 2,,OPERATING SYSTEMS
1028,Hard drives: Formatting,the initialization process of a storage device or partition to prepare it for use with a specific file system such as ntfs new technology file system or exfat extended file allocation table which organizes the disk structure,63,0.081365116,5.5239606,"A drive is detected but cannot be written to, or the OS reports the drive is ""RAW"" and inaccessible.","Open “Disk Management” (“diskmgmt.msc”), right-click the unallocated or corrupted volume, select “Format”, choose the desired file system and allocation unit size, and click “Perform a quick format”.",Operating System,Storage Device Deployment,CORE 2,,OPERATING SYSTEMS
1029,Hard drives: Hybrid drives,also known as an sshd solid-state hybrid drive this device combines a large-capacity magnetic hard disk with a small amount of flash-based solid-state memory which stores frequently accessed files for faster performance,9,4.1795588,3.3983426,"Performance drops after the drive has been in use for a long time, or specific high-performance applications take longer than expected to launch.","Allow the drive time to ""learn"" user patterns (as the flash memory cache is managed by the drive firmware), check for firmware updates from the manufacturer, or run a diagnostic test to see if the mechanical portion of the drive is failing.",Hardware,Storage Devices,CORE 1,HARDWARE,
1030,Hard drives: Initializing,the process of preparing a new or unformatted disk so the operating system can recognize it and use it to store data typically involving the selection of a partition style like mbr master boot record or gpt guid partition table,56,1.3787347,5.089782,A new hard drive is physically installed but does not show up as a drive letter in “File Explorer”.,"Open “Disk Management”, locate the drive labeled “Not Initialized”, right-click the disk area, select “Initialize Disk”, choose the partition style (GPT is recommended for modern systems), and then create a partition.",Operating System,Storage Device Deployment,CORE 2,,OPERATING SYSTEMS
1031,Hard drives: Magnetic disk drives/HDD,traditional mechanical storage devices that read and write data using a magnetic head on rapidly spinning platters offering high capacity at a low cost-per-gigabyte,1,4.273861,3.7208362,"Clicking or scraping sounds, extremely slow data transfer speeds, or “Cyclic Redundancy Check” (CRC) errors when reading files.","Ensure the drive is physically level, check for physical vibrations in the chassis, run “chkdsk” to identify bad blocks, and perform frequent backups before the drive fails completely.",Hardware,Storage Devices,CORE 1,HARDWARE,
1032,Hard drives: Mapping,the process of assigning a local drive letter e g z to a shared folder or network directory located on a remote file server,9,-1.5330753,-0.8977141,"Users cannot find their shared work folders, or the mapped drive shows as “Disconnected” or displays a red ‘X’.","Open “File Explorer”, right-click “This PC”, select “Map network drive”, enter the correct UNC (Universal Naming Convention) path (e.g., “\\Server\Share”), check the “Reconnect at sign-in” box, and verify network connectivity to the server.",Networking,Network Services,CORE 1,NETWORKING,
1033,Hard drives: Mounting drives,a process where an operating system makes a storage device or partition available for access by the user within the file system hierarchy,63,0.32843965,4.6525574,A drive or an ISO (International Organization for Standardization) file cannot be accessed by the file system.,"Ensure the drive is formatted correctly, use the “Disk Management” tool to assign a drive letter, or—if mounting a virtual disk—right-click the file and select “Mount” to create a temporary logical drive.",Operating System,Storage Device Deployment,CORE 2,,OPERATING SYSTEMS
1034,Hard drives: Optimizing,a maintenance task that helps a drive perform more efficiently for hdds this means defragmentation for ssds this means the trim command which helps the drive manage free space,1,4.303789,4.3842444,General system sluggishness over time.,"Open “Defragment and Optimize Drives”, verify the system correctly identifies the drive type (HDD vs SSD), and run the optimization tool to ensure the operating system is performing the correct housekeeping tasks (Defrag for HDD, TRIM for SSD).",Operating System,File System Maintenance,CORE 2,,OPERATING SYSTEMS
1035,Hard drives: Overwriting,a data sanitization method where new random or fixed data like zeros is written over existing data on every addressable sector of a storage device,1,1.9134681,4.143503,Improperly overwritten data could potentially be recovered by advanced forensic software if only a single pass is used.,"To ensure data is unrecoverable, use a software tool that performs multiple passes of data overwriting, or verify the drive’s security documentation to see if it supports a ""Secure Erase"" feature at the controller level.",Security,Data Destruction,CORE 2,,SECURITY
1036,Hard drives: Purging,a robust sanitization process that makes data recovery infeasible using state-of-the-art laboratory techniques often achieved through cryptographic erasure if the drive was encrypted or multiple overwrite passes,1,2.0778205,3.8052783,N/A (Proactive security measure).,"If using cryptographic erasure, delete the encryption keys; if using overwriting, use software that satisfies NIST 800-88 standards for purging, which ensures that even specialized recovery equipment cannot restore the original data.",Security,Data Destruction,CORE 2,,SECURITY
1037,Hard drives: RAID,redundant array of independent disks raid is a technology that uses multiple hard drives in combination to provide data redundancy improve performance or both e g raid 0 1 5 10,58,3.4938877,3.5631995,"RAID array degraded warnings, data corruption, or total volume loss if the number of drive failures exceeds the parity or mirroring limits.","Access the RAID controller’s BIOS (Basic Input/Output System) or software management console, identify the failed drive, replace it with an identical component, and initiate a ""rebuild"" of the array.",Hardware,Storage Devices,CORE 1,HARDWARE,
1038,Hard drives: Replacing,the physical process of removing a faulty or obsolete storage device and installing a new unit,1,2.4178143,1.3725705,Hardware diagnostic tools indicate irreparable sector failure or total mechanical death.,"Back up all data, shut down the system, remove the chassis side panel, disconnect power and data cables, unscrew the drive from its mounting bay, insert the new drive, reconnect all cables, and install the operating system/restore data.",Hardware,Storage Devices,CORE 1,HARDWARE,
1039,Hard drives: Sanitizing,a process meant to render access to target data on the media infeasible for a given level of effort this encompasses clearing purging or destroying the drive,1,2.1597495,3.4060235,Insecure media disposal causing potential information leakage.,"Choose the sanitization method appropriate for the data sensitivity level (e.g., clearing is sufficient for low-sensitivity data; destruction is required for top-secret data) and maintain a certification log for compliance.",Security,Data Destruction,CORE 2,,SECURITY
1040,Hard drives: SATA drives,a storage interface serial advanced technology attachment used to connect hard drives and optical drives to the motherboard supporting data transfer rates up to 6 gigabits per second gbps for sata iii,49,5.4213915,2.8333793,"Intermittent drive connection, ""Drive not found"" errors, or system freezes due to bad SATA cables.","Replace the SATA data cable with a known-good one, try a different SATA port on the motherboard, and ensure the power supply is delivering stable voltage to the drive connector.",Hardware,Storage Devices,CORE 1,HARDWARE,
1041,Hard drives: SSD,a solid-state drive ssd is a high-speed non-volatile storage device that uses nand not-and flash memory instead of mechanical platters resulting in faster load times and better durability,119,4.490225,3.2296696,"Firmware corruption, sudden drop in write performance, or failure to communicate with the OS after a sudden power loss.","Update the drive’s firmware via the manufacturer’s software, check the BIOS to ensure the SATA mode is set to AHCI (Advanced Host Controller Interface), and ensure the OS is using native NVMe drivers if applicable.",Hardware,Storage Devices,CORE 1,HARDWARE,
1042,Hard drives: Zeroing out,a basic sanitization method that writes a zero value to every block on a hard drive effectively erasing all previous data,1,1.8487816,4.5910497,"Data remains ""recoverable"" if the drive is analyzed with advanced forensic tools, as a single pass of zeros may not meet high-security standards.","Use a disk-wiping tool (like “diskpart” with the “clean all” command) to write zeros across the entire disk; for high-security environments, verify that this is the approved method for the data’s classification level.",Security,Data Destruction,CORE 2,,SECURITY
1043,Hard reset (30-second trick),a troubleshooting technique that discharges residual electricity from hardware components forcing a complete power cycle of a device or motherboard,8,5.4694643,0.5949442,"A system will not power on, is stuck in a boot loop, or behaves erratically as if it has a configuration glitch.","Turn off the device, unplug the power source, remove the battery (if applicable), press and hold the power button for at least 30 seconds, reconnect the power, and attempt to turn the system on again.",Hardware,Troubleshooting Hardware,CORE 1,HARDWARE,
1044,Hard tokens,a physical hardware device like a key fob or smart card that generates an authentication code otp one-time password used as a second factor in multi-factor authentication mfa,81,-5.1584797,-2.0529249,"The user is unable to log in because the token is broken, the battery is dead, or the generated code is consistently rejected.","Verify the time synchronization on the device (if applicable), check for a low battery indicator, and if the token is permanently faulty, use the administrative management console to revoke the old token and register a replacement.",Network Security & Access Control,Logical Security Controls,CORE 2,,SECURITY
1045,"Hardware, licensing: Commercial licenses",software licenses that require payment and govern the usage distribution and installation of proprietary software on hardware assets,99,-0.55851144,-0.09505264,"Software displays ""Licensing Error"" or ""Trial Expired,"" or auditing tools flag the organization for unauthorized software usage.","Check the organization’s asset management database to verify license counts, install the correct license key, and ensure that the software installation conforms to the terms specified by the software vendor.",Operational Procedures,Licensing and Compliance,CORE 2,,OPERATIONAL PROCEDURES
1046,"Hardware, licensing: DRM",digital rights management drm is a set of access control technologies used by hardware and software publishers to restrict the use of proprietary software and multimedia content,1,-1.1322333,-0.5362823,Inability to play media on unauthorized devices or failures when attempting to install software across multiple systems.,"Ensure the device has an active internet connection to verify DRM tokens, log into the correct account associated with the purchase, and check for compatibility issues between the content and the device's DRM implementation.",Operational Procedures,Licensing and Compliance,CORE 2,,OPERATIONAL PROCEDURES
1047,"Hardware, licensing: EULA",the end-user license agreement eula is a legal contract between the software developer and the user detailing the terms and conditions under which the software may be used,1,-0.96331555,0.65550554,"Users violating software usage policies, such as installing a single-user license on multiple machines.","Review the EULA terms during software installation; if in doubt, consult the organizational legal or IT policy documentation regarding acceptable use.",Operational Procedures,Licensing and Compliance,CORE 2,,OPERATIONAL PROCEDURES
1048,"Hardware, licensing: Open source licensing",software licensing models that allow the source code to be inspected modified and enhanced by anyone often free of charge e g gpl general public license,107,-1.444196,0.5157947,"Misunderstanding regarding the freedom of the license, leading to accidental proprietary changes to open-source components.","Review the specific open-source license documentation (e.g., MIT, GPL, Apache) to understand attribution requirements and redistribution rights before modifying or including the code in proprietary projects.",Operational Procedures,Licensing and Compliance,CORE 2,,OPERATIONAL PROCEDURES
1049,"Hardware, licensing: Organizing",the administrative task of tracking hardware and software licenses to ensure the organization stays compliant with all vendor agreements,1,-0.3765096,0.28664887,Over-licensing (wasting money) or under-licensing (legal/compliance risk).,"Implement an ITAM (IT Asset Management) system to centralize license keys, expiration dates, and deployment counts; conduct periodic audits to align inventory with active subscriptions.",Operational Procedures,Licensing and Compliance,CORE 2,,OPERATIONAL PROCEDURES
1050,"Hardware, licensing: Personal/enterprise-level licenses",distinctions in licensing models where personal licenses are restricted to individual users while enterprise licenses allow for volume deployment and centralized management,1,-1.9318302,0.60344267,"Attempting to use a personal license in an enterprise environment, leading to license rejection or compliance failure.","Verify the license type during procurement and deployment; if an enterprise setup is required, ensure the software is activated using a volume license key or a management server.",Operational Procedures,Licensing and Compliance,CORE 2,,OPERATIONAL PROCEDURES
1051,"Hardware-based tokens, security",physical security devices that store cryptographic keys or generate authentication tokens to prove a user's identity when accessing a system,81,-4.338443,-1.7363999,"Unauthorized access if a token is stolen, or account lockouts due to lost tokens.","Implement a procedure for reporting lost tokens, enforce the use of PINs (Personal Identification Numbers) to unlock the token, and ensure the server-side authentication system tracks the token status.",Network Security & Access Control,Logical Security Controls,CORE 2,,SECURITY
1052,Hashing,a mathematical algorithm that transforms an input of any size into a fixed-length string of characters used to verify data integrity e g sha secure hash algorithm or md5 message digest 5,1,-3.8641326,-2.4150348,File checksum mismatch errors during software downloads or system corruption.,"Compare the hash of the downloaded file with the official hash provided by the developer; if they do not match, the file is corrupt or has been tampered with, and should be re-downloaded.",Security,Data Integrity,CORE 2,,SECURITY
1053,HDD: Latency,the time delay that occurs while the mechanical head of a hard drive seeks the correct track and rotates to the specific sector where the data is stored,9,3.4805055,3.8708272,Slow disk read/write performance compared to SSDs.,"Latency is an inherent physical property of HDDs; to improve performance, upgrade to an SSD, as mechanical drives cannot be ""fixed"" to lower latency beyond their rotational speed limit.",Hardware,Storage Devices,CORE 1,HARDWARE,
1054,HDD: Rotational speed,the speed at which the internal platters of an hdd spin typically measured in rpm revolutions per minute which directly impacts read write latency and data transfer rates,88,4.540099,2.4490604,"Slower-than-expected data access times if the drive is a low-RPM model (e.g., 5400 RPM).","Verify the RPM rating on the drive label; for high-performance requirements, ensure the drive is rated at 7200 RPM or higher, or migrate the high-demand data to an SSD.",Hardware,Storage Devices,CORE 1,HARDWARE,
1055,HDMI (High-Definition Multimedia Interface) cabling,a proprietary audio video interface used to transmit uncompressed video data and compressed or uncompressed digital audio data from an hdmi-compliant source device to a compatible computer monitor video projector or digital television tv,82,3.5299234,-3.4523358,"No image displayed on the monitor, flickering screen, visual artifacts (static or lines), or audio not playing through the HDMI-connected speakers.","Inspect the cable for physical damage, ensure the cable is firmly seated in both the source and display ports, test with a different “known-good” cable, and verify the display settings in the OS (Operating System) to ensure the HDMI port is selected as the active output.",Hardware,Peripheral Connections,CORE 1,HARDWARE,
1056,Heat sinks,a passive thermal management component typically made of aluminum or copper designed to increase the surface area of a heat-generating component such as a cpu central processing unit or gpu graphics processing unit to dissipate heat efficiently into the surrounding air,51,4.6647835,0.45193338,"Sudden system shutdowns during intensive tasks, excessive fan noise, or the system freezing after reaching high temperatures.","Clean dust buildup from the cooling fins using compressed air, re-apply thermal paste between the CPU and heat sink, and ensure the heat sink is mounted securely and making full contact with the integrated heat spreader.",Hardware,Thermal Management,CORE 1,HARDWARE,
1057,"Heating/cooling, troubleshooting",the diagnostic process of addressing thermal instability within a computing system by monitoring temperatures and ensuring that internal air circulation is adequate,1,3.3726563,0.42704764,"System restarts without warning, “Thermal Trip” errors in the BIOS (Basic Input/Output System) or UEFI (Unified Extensible Firmware Interface) logs, or components failing prematurely.","Monitor system temperatures using software tools like “HWMonitor”, ensure all case fans are spinning in the correct direction, verify that air intake vents are not blocked, and clean any accumulated debris from inside the chassis.",Hardware,Troubleshooting Hardware,CORE 1,HARDWARE,
1058,"Heavy objects, lifting",proper physical safety protocol for lifting heavy equipment such as servers or ups uninterruptible power supply units to prevent musculoskeletal injuries,1,5.119015,-0.30845344,"Back strain, neck pain, or accidental drops causing damage to equipment or physical injury to the technician.","Always lift with your legs, keeping the back straight and the object close to your body; if an object is too heavy for one person, seek assistance or use a mechanical lifting aid (like a dolly or server lift) to move the item.",Operational Procedures,Safety and ESD (Electrostatic Discharge),CORE 1,OPERATIONAL PROCEDURES,
1059,"Help desks, ticketing systems",a centralized software application used by it support teams to log track manage and prioritize user-reported issues tickets throughout their lifecycle until resolution,1,-0.99598575,0.39498737,"Inconsistent resolution times, lost communication regarding support requests, or difficulty tracking historical issue trends.","Review the ticket status in the application, ensure all relevant user information and troubleshooting steps taken so far are logged, and follow up with the user if the status has remained stagnant for too long.",Operational Procedures,Professionalism and Communication,CORE 2,,OPERATIONAL PROCEDURES
1060,Help files,embedded documentation or linked resources provided by software vendors to assist users in understanding how to operate a program or troubleshoot common issues,1,-0.06645118,0.36546272,Users unable to find information about specific application functions or an inability to access the local help database.,"Press “F1” while the application is active to trigger the help context, check the “Help” menu within the application, or search the manufacturer’s website for an online version of the manual.",Operating System,User Support,CORE 2,,OPERATING SYSTEMS
1061,HEPA (High-Efficiency Particulate Air) filters,a type of mechanical air filter that meets specific efficiency standards by removing at least 99 97 of dust pollen mold bacteria and any airborne particles with a size of 0 3 microns,1,3.3010812,-1.2031189,Reduced airflow in sensitive server environments or increased particulate accumulation in clean-room hardware.,"Check the filter maintenance schedule, replace the filter if it appears clogged or dirty, and ensure that the replacement filter meets the required HEPA standards for the specific hardware or facility.",Hardware,Environmental Controls,CORE 1,HARDWARE,
1062,Hibernate mode,a power-saving state in windows that saves all open documents and programs to the hard drive in a file called hiberfil sys and then powers down the computer completely allowing for a faster resume than a cold boot,7,2.7587707,2.9950066,"System fails to wake from hibernate, or there is insufficient disk space on the system drive to create the hibernation file.","Run the command “powercfg /hibernate on” in an elevated command prompt to ensure the feature is enabled, and check for adequate free disk space on the primary partition.",Operating System,Power Management,CORE 2,,OPERATING SYSTEMS
1063,"High latency, troubleshooting",addressing the delay between a command being sent over a network and the response being received often causing lag in real-time applications,1,0.8169753,-1.4914986,"Stuttering audio/video in calls, slow web page responsiveness, or remote desktop sessions that feel unresponsive to user input.","Use the command “ping -t [destination IP]” to check for packet loss and jitter, check for background network usage (e.g., large downloads), and verify physical network cable integrity or switch port performance.",Networking,Troubleshooting Networks,CORE 1,NETWORKING,
1064,"Histories, files",features within an os or application that track file access or modifications allowing users to view logs of what changed or recover previous iterations of a document e g windows file history,63,-0.58099616,4.2306213,User cannot recover a previous version of a file after accidental deletion or overwriting.,"Navigate to “Settings > Update & Security > Backup”, check if “File History” was enabled, and use the “Restore personal files” option to retrieve the desired file iteration.",Operating System,File System Management,CORE 2,,OPERATING SYSTEMS
1065,"Hives, registry",a logical group of keys subkeys and values in the windows registry that represents a portion of the system configuration e g hkey local machine or hkey current user,1,-0.851472,2.6951666,"System fails to boot, configuration settings are lost after a restart, or “Registry Corruption” errors appear during OS operation.","Use the “System File Checker” (“sfc /scannow”) to repair system files, or boot into the “Recovery Environment” and use the “System Restore” feature to roll back to a previously working registry backup.",Operating System,System Configuration,CORE 2,,OPERATING SYSTEMS
1066,Home folder,a specific directory on a network server or local machine designated for a user's personal documents desktop files and application settings,0,-3.0517912,0.76694715,"User logs in but cannot save files, or cannot see their saved documents (often due to incorrect path mapping).","Open “Active Directory Users and Computers” (in a domain environment) to verify the path in the user’s “Profile” tab, or check the folder permissions to ensure the user has “Modify” rights to their home directory.",Networking,Account Management,CORE 2,,OPERATING SYSTEMS
1067,Hosted (type 2) hypervisors,a virtualization manager that runs as an application on top of an existing host operating system e g vmware workstation or virtualbox sharing hardware resources managed by that host os,79,0.8963239,2.2158556,Virtual machines (VMs) are extremely slow to load or experience severe graphical lag.,"Ensure the host has enough RAM and CPU cores to support the VM, verify that “Hardware Virtualization” (VT-x or AMD-V) is enabled in the BIOS, and update the hypervisor software.",Operating System,Virtualization,CORE 2,,OPERATING SYSTEMS
1068,Hostname command,a command-line utility used to display or set the current host name of the computer or network device,10,-2.4116714,4.445144,"A system is not showing the correct name on the network, or a script fails because it cannot resolve the computer’s identity.","Open the command prompt and type “hostname” to verify the current name; use the command “hostname [new_name]” (requires administrative privileges) to change it, or modify the system settings in the Control Panel.",Networking,Network Configuration,CORE 1,NETWORKING,
1069,"Hosts, networked",any device connected to a network that provides or consumes services ranging from personal computers to internet-enabled appliances,1,-0.42593223,-2.547067,"Device is unreachable via the network, or it exhibits unexpected behavior that impacts other nodes.","Use the “ipconfig” (Windows) or “ifconfig” (Linux) command to verify local IP settings, check the status of the local firewall, and use the “ping” command to test connectivity to other network hosts.",Networking,Network Connectivity,CORE 1,NETWORKING,
1070,"Hosts, networked: Embedded systems",computing systems with dedicated functions often with real-time computing constraints embedded as part of a complete device such as those found in medical equipment or industrial controllers,35,-0.53645104,-1.4274158,"Device becomes unresponsive, requires frequent reboots, or crashes when performing specific functions.","Perform a power cycle, check for firmware updates from the manufacturer, and isolate the device from the network to determine if the issue is a software hang or a network-related communication error.",Hardware,Specialized Devices,CORE 1,HARDWARE,
1071,"Hosts, networked: IoT (Internet of Things)",a network of physical objects things embedded with sensors software and connectivity allowing them to exchange data with other devices and systems over the internet,35,-0.61819404,-2.5299716,"Smart home devices fail to communicate with the central hub, or firmware update failures lead to device bricking.","Check the wireless signal strength at the device location, verify the device is connected to the correct network segment (e.g., a guest or IoT-specific VLAN), and perform a factory reset if the device fails to authenticate.",Networking,Network Connectivity,CORE 1,NETWORKING,
1072,"Hosts, networked: Load balancing",the distribution of network or application traffic across a number of servers to ensure no single server becomes overwhelmed improving reliability and responsiveness,1,-1.7052462,-2.8319728,"Users experience slow response times from specific servers, or total service failure if one server in the cluster goes down and the load balancer doesn't redirect traffic.","Verify the health check configuration in the load balancer settings, ensure all back-end servers are reachable, and check logs to see if traffic is correctly routing to active nodes.",Networking,Network Performance,CORE 1,NETWORKING,
1073,"Hosts, networked: Security",the practice of protecting networked devices and the data they transmit from unauthorized access or malicious attacks,1,-0.9452479,-1.7190549,"Unusual network traffic spikes, unauthorized file access, or system alerts regarding malware infection.","Update OS and application security patches, enable and configure a host-based firewall, use strong authentication (MFA—Multi-Factor Authentication), and perform regular malware/vulnerability scans.",Networking,Network Security,CORE 1,NETWORKING,
1074,"Hosts, networked: Servers",a powerful computer or computer program that provides services resources or functionality to other programs or devices known as clients,103,-1.1329173,-1.4424193,"Clients cannot access shared files, databases, or web services hosted on the server.","Verify the server is powered on, check if necessary services (e.g., DNS, DHCP, HTTP) are running in the “Services” console, and inspect the Event Viewer for application or system error codes.",Networking,Network Services,CORE 1,NETWORKING,
1075,"Hot components, safety",the protocol for handling components that generate significant heat e g cpus server chassis components to avoid thermal burns and protect sensitive hardware,8,4.5553937,-0.604142,Minor burns to the technician or accidental damage to a component due to dropping it while trying to manage the heat.,"Allow the system to cool down after shutdown for at least 15–20 minutes before touching internal components; if hardware must be handled while warm, use insulated gloves or handles.",Operational Procedures,Safety and ESD,CORE 1,OPERATIONAL PROCEDURES,
1076,Hot docking,the ability to connect a device like a laptop to a docking station or peripheral while the computer is turned on and running without requiring a reboot,1,1.5170174,-2.593543,The laptop does not recognize external monitors or peripherals after being placed in the dock.,"Ensure the docking station firmware is updated, re-seat the connection, and check the “Device Manager” for any warnings regarding the docking hardware drivers.",Hardware,Peripheral Connections,CORE 1,HARDWARE,
1077,Hotspots,physical locations or devices like a smartphone that provide internet access to mobile devices over a wireless local area network wlan using a router connected to an internet service provider isp,15,0.5211555,-4.299718,"Devices can see the hotspot but cannot connect, or the internet connection is extremely slow.","Verify the hotspot’s cellular signal strength, restart the hotspot device, ensure the security password is correct, and check if any bandwidth limits (data caps) have been reached.",Networking,Wireless Networking,CORE 1,NETWORKING,
1078,"HSM (Hardware Security Module), Secure Boot",a dedicated physical device used to safeguard and manage digital keys perform encryption and support the secure boot process which ensures that only cryptographically signed code can execute during the boot process,89,0.7154525,3.485621,"System refuses to boot, reporting “Invalid Signature” or “Secure Boot Violation.”","Enter the BIOS/UEFI, verify that the boot order and “Secure Boot” keys are correctly configured, and ensure that all installed hardware and drivers are signed by the manufacturer.",Security,Logical Security Controls,CORE 2,,SECURITY
1079,HTTP (Hypertext Transfer Protocol),an application-layer protocol used for transmitting hypermedia documents such as html hypertext markup language over the web it is the foundation of data communication for the world wide web,32,-5.6030455,-0.19171044,Web pages fail to load or display “404 Not Found” or “500 Internal Server Error” messages.,"Verify that the web server is running, check the network connection, and ensure that the URL is typed correctly; if testing locally, use a browser tool to inspect the server response headers.",Networking,Network Services,CORE 1,NETWORKING,
1080,HTTPS (HTTP Secure),an extension of http that uses tls transport layer security or the older ssl secure sockets layer to encrypt the communication channel between a web browser and a server,27,-4.0280786,-3.3337288,Browser displays “Your connection is not private” or “Certificate Invalid” warnings.,"Verify the date and time on the local computer (as this affects certificate validation), check if the website’s SSL certificate has expired, and ensure the certificate is issued by a trusted CA (Certificate Authority).",Networking,Network Security,CORE 1,NETWORKING,
1081,Hub-and-spoke (star) topologies,a network layout where all nodes are connected to a central hub switch or concentrator,1,0.3752819,-3.011755,"If the central hub/switch fails, the entire network (or the branch connected to it) goes down.","Check the status lights on the central hub/switch; if off or blinking red, replace the unit; if the unit is functional, check the individual cabling running to the ""spoke"" nodes.",Networking,Network Topology,CORE 1,NETWORKING,
1082,Hubs,a legacy networking device that connects multiple devices in a network segment and broadcasts all incoming data to every other port causing high traffic and collisions,60,-0.3525131,-4.0944214,Extremely slow network performance or intermittent connection drops due to packet collisions.,"Replace the hub with a network switch, which intelligently routes traffic to the destination rather than broadcasting it to every node.",Networking,Network Infrastructure,CORE 1,NETWORKING,
1083,Humidity/temperature controls,environmental settings managed in server rooms or data centers to ensure hardware operates within manufacturer-specified parameters e g preventing condensation or overheating,1,3.220351,0.053985193,Equipment corrosion (if too humid) or hardware failure (if too hot).,"Use environmental monitoring sensors to track data, adjust HVAC (Heating, Ventilation, Air Conditioning) systems accordingly, and ensure fans/ventilation are clear of obstructions.",Operational Procedures,Environmental Controls,CORE 1,OPERATIONAL PROCEDURES,
1084,"HVAC (Heating, Ventilation, Air Conditioning)",the technology of indoor and vehicular environmental comfort critical in data centers to maintain stable temperatures and humidity levels for server longevity,1,3.3605247,-0.29697657,Data center temperature spikes leading to equipment shutdown.,"Contact facility management, check HVAC unit error codes, and use portable cooling units as a temporary measure if the primary climate control fails.",Operational Procedures,Environmental Controls,CORE 1,OPERATIONAL PROCEDURES,
1085,Hybrid clouds,a computing environment that combines a public cloud e g aws amazon web services and a private cloud e g on-premises servers allowing data and applications to be shared between them,95,-2.648262,-0.8521923,"Data synchronization failures between on-premises storage and the public cloud, or service connectivity issues.","Verify the VPN (Virtual Private Network) or direct connection tunnel is active, check cloud provider status dashboards, and ensure local firewall rules allow traffic to the cloud service.",Networking,Cloud Computing,CORE 2,,OPERATING SYSTEMS
1086,Hybrid drives,a storage device that combines traditional spinning magnetic platters hdd with a small amount of high-speed flash memory ssd to act as a cache speeding up frequently accessed files,1,4.187787,3.4247618,"Drive performance degrades over time, or the system experiences long delays when opening applications that aren't in the flash cache.","Ensure the drive firmware is updated, run drive diagnostic software to check both the mechanical and flash components, and consider replacing the drive with a full SSD if performance requirements increase.",Hardware,Storage Devices,CORE 1,HARDWARE,
1087,Hypervisors,software or hardware that creates and runs virtual machines by abstracting the physical hardware into independent virtual environments,79,1.1630886,2.05891,"VMs fail to start, or host system performance drops significantly when a VM is running.","Verify BIOS/UEFI virtualization settings, allocate sufficient RAM and CPU to the VMs, and check for hypervisor software updates.",Operating System,Virtualization,CORE 2,,OPERATING SYSTEMS
1088,Hyper-V hypervisors,a native hypervisor developed by microsoft that allows for the creation of virtual machines on x86-64 systems running windows,79,0.4167326,2.1632779,"VMs fail to launch, or network communication between the VM and the physical network is blocked.","Check the “Hyper-V Manager” for VM status, ensure the “Virtual Switch” is correctly configured, and check if the “Hyper-V” feature is properly enabled in “Windows Features.”",Operating System,Virtualization,CORE 2,,OPERATING SYSTEMS
1089,Hyper-V hypervisors: VirtualBox,a type 2 hypervisor developed by oracle that allows users to run different operating systems as virtual machines on a single host,79,0.93131936,2.2763722,"Guest OS fails to boot, or “Guest Additions” are not functioning correctly.","Reinstall “Guest Additions” within the VM, ensure the host meets memory requirements, and check “Settings” for the correct virtualization mode.",Operating System,Virtualization,CORE 2,,OPERATING SYSTEMS
1090,Hyper-V hypervisors: VMware Workstation,a powerful type 2 hypervisor that allows for the creation and management of complex virtual networking environments and vms on windows or linux hosts,79,0.40278518,1.8891823,"VM performance lag, or inability to connect the VM to the internet (NAT—Network Address Translation vs. Bridged mode issues).","Review the “Virtual Network Editor” settings, ensure the “VMware Tools” package is updated, and check for conflicts with other virtualization software installed on the same host.",Operating System,Virtualization,CORE 2,,OPERATING SYSTEMS
1091,IaaS (Infrastructure as a Service),a cloud computing model that delivers virtualized computing resources such as virtual servers network storage and load balancers over the internet allowing organizations to rent infrastructure rather than purchasing physical hardware,95,-2.1886458,-1.0272255,"Connectivity loss to the virtual data center, inability to scale resources (CPU/RAM) as defined in the service level agreement (SLA), or failure of cloud-based virtual machines (VMs) to boot.","Verify internet connectivity to the cloud provider, check the cloud management console for system health alerts or resource exhaustion, and review firewall configurations or security groups for misconfigured access rules.",Networking,Cloud Computing,CORE 2,,OPERATING SYSTEMS
1092,IANA (Internet Assigned Numbers Authority),the standards organization that oversees global ip internet protocol address allocation autonomous system number allocation root zone management in the dns domain name system and other ip-related symbols and numbers,102,-3.521385,-5.0769534,"N/A (This is a regulatory body, not a hardware component).","If network services are failing due to IP allocation issues, verify that local DHCP (Dynamic Host Configuration Protocol) servers are configured correctly and not conflicting with IANA-reserved private address ranges.",Networking,Network Addressing,CORE 1,NETWORKING,
1093,ICloud,apple s proprietary cloud storage and computing service that synchronizes data including photos files and device backups across ios iphone os ipados and macos devices,95,-2.158939,0.023412386,"Files not syncing across devices, storage full warnings, or failure to perform device backups.","Ensure the device is signed into the correct Apple ID, check the internet connection, verify that “iCloud Drive” is enabled in “Settings”, and check if the storage quota has been exceeded.",Operating System,Mac OS (Operating System) Management,CORE 2,,OPERATING SYSTEMS
